Item Number,Product Description,1 Side Printing,200,500,1000,2500,5000
17ODS,17inch Outdoor Balloon Standard Colours,No,NA,0.46,0.4,0.32,0.27
17ODS,17inch Outdoor Balloon Standard Colours,Yes,1.16,0.72,0.49,0.4 0.35
17ODQ,17inch Outdoor Balloon Crystal/Fun Colours,No,NA,0.5 0.45,0.35,0.3
17ODQ,17inch Outdoor Balloon Crystal/Fun Colours,Yes 1.22,0.78,0.53,0.42,0.37
17ODM,17inch Outdoor Balloon Metallic Colours,No,NA,0.53,0.48,0.38,0.33
17ODM,17inch Outdoor Balloon Metallic Colours,Yes,1.24,0.8,0.56,0.46,0.4
