Product Description,1000,2500,5000,10000,25000
10inch Standard,Colours,0.4,0.38,0.34,0.3,0.27
10inch Jewel/Fashion,Colours,0.42,0.4,0.36,0.32,0.29
12inch Standard,Colours,0.44,0.43,0.38,0.34,0.3
12inch Jewel/Fashion,Colours,0.46,0.45,0.4,0.36,0.32
