Product Description,10,25,50,100,250,500,1000,PSD
36inch Giant Standard Colours,7.8,6.06,5.4,5.2,4.4,3.76,3.3,giantballoons.psd
36inch Giant Jewel/Fashion Colours,8.5,7.5,6.22,5.78,4.9,4.26,3.8,giantballoons.psd
30inch Giant Metallic Colours,10.4,8.5,7.5,6.8,5.6,4.8,4.2,giantballoons.psd
36inch Giant Heart Standard Colours,8.9,7.56,6.56,6.22,5.54,4.7,4.24,giantballoons.psd
36inch Giant Heart Jewel Colours,9.6,8.28,7.6,6.96,6.08,5.2,4.62,giantballoons.psd
30inch Super Agate Rainbow Colours*,15,13.2,12.22,11.34,10.12,9.1,8.03,giantballoons.psd
36inch Globe Balloon,12,9.38,8.58,8.04,7.15,6.27,5.67,giantballoons.psd
