Charge, Cost
Cut Charge, $50.00(A) per logo one time only    
Machine Set up charge, $22.00(A) per imprint   
Photo Print Charge, $36.00(A) for art set-up   
Second-Side Same Imprint, $0.02(A) per balloon   
Second-Side Different Imprint, $0.048(A) per balloon  
Custom Ink Blend, $20.00(A) per ink colour (please inquire)
Art Charge, $50.00(A) per hour
