Product Description,1000,2500,5000,10000,25000,PSD
9inch Standard Colours,0.40,0.34,0.29,0.25,0.21,Multicolour.psd 
9inch Jewel/Fashion Colours,0.42,0.36,0.30,0.26,0.23,Multicolour.psd 
9inch Metallic Colours,0.50,0.42,0.36,0.30,0.26,Multicolour.psd 
11inch Standard Colours,0.48,0.38,0.33,0.28,0.24,Multicolour.psd 
11inch Jewel/Fashion Colours,0.50,0.40,0.35,0.30,0.26,Multicolour.psd 
11inch Metallic Pearl or Neon Colours,0.58,0.48,0.42,0.33,0.28,Multicolour.psd
