Product Description,100,250,500,1000,PSD
12inch Small Assorted Panels,2.10,1.98,1.75,1.55,12inchbeachball.psd
16inch Standard Assorted Panels or Red/White/Blue Panels,2.30,2.20,1.97,1.75,16inchbeachball.psd
