 Product Description,ItemNum,Includes,1,2 to 5,6 to 10,11 to 25,26 to 99,PSD
 8ft Bow/TearDrop,31174/31179,Pole ground stake metal cross base with water weight and nylon carrying bag,289.00,255.00,231.00,213.00,207.00,flagsredone.psd
 10ft Rectangle,46307,Pole ground stake and nylon carrying bag,336.00,292.00,263.00,240.00,230.00,flagsredone.psd
 11ft Bow/TearDrop,31161/31177,Pole ground stake and nylon carrying bag,310.00,269.00,243.00,221.00,212.00,flagsredone.psd
 13.5ft Rectangle,46345,Pole ground stake and nylon carrying bag,398.00,364.00,330.00,301.00,288.00,flagsredone.psd
 14ft Bow/TearDrop,31173/31178,Pole ground stake and nylon carrying bag,365.00,336.00,305.00,278.00,266.00,flagsredone.psd
