Product Description,2500,5000,10000,25000,PSD
9inch Standard Colours,0.41,0.35,0.31,0.27,Multicolour.psd
9inch Jewel/Fashion Colours,0.45,0.39,0.34,0.29,Multicolour.psd
9inch Metallic Colours,0.50,0.44,0.39,0.34,Multicolour.psd
11inch Standard Colours,0.49,0.43,0.38,0.33,Multicolour.psd
11inch Jewel/Fashion Colours,0.52,0.46,0.40,0.35,Multicolour.psd
11inch Metallic Pearl or Neon Colours,0.60,0.52,0.46,0.42,Multicolour.psd
