Product Description,Printing,200,500,1000,PSD
12inch Standard Colours,na,0.41,0.39,0.33,na
12inch Jewel or Fashion Colours,na,1.16,0.74,0.46,na
12inch Standard Colours,2 sided/same,0.43,0.41,0.35,Qlinkcolumn.psd
12inch Jewel or Fashion Colours,2 sided/same,1.19,0.75,0.58,Quicklinkarch(small).psd
