Product Description,Printing,1,5,10,25,50,100,PSD
6ft Front Print ONLY (#36934),Stock Fabric Colour,186.00,177.00,162.00,144.00,125.00,115.00,tablecover.psd
6ft Multi Panel and Sides Print (#18438),Full Bleed or Custom Fabric Colour,219.00,210.00,195.00,176.00,155.00,145.00,tablecover.psd
8ft Front Print ONLY,Stock Fabric Colour,207.00,198.00,184.00,168.00,145.00,137.00,tablecover.psd
8ft Multi Panel and Sides Print,Full Bleed or Custom Fabric Colour,240.00,230.00,217.00,201.00,175.00,167.00,tablecover.psd
