Product Description,Printing,200,500,1000,PSD
12inch Standard Colours,NONE,0.41,0.39,0.33,qlinkarch.psd
12inch Jewel or Fashion Colours,NONE,0.43,0.41,0.35,qlinkcolumn.psd
12inch Standard Colours,2 sided/same1,0.16,0.74,0.46,qlinkarch.psd
12inch Jewel or Fashion Colours,2 sided/same1,0.19,0.75,0.48,qlinkcolumn.psd 
