Product Description,1000,2500,5000,10000,25000,PSD
10inch Standard Colours,0.40,0.38,0.34,0.30,0.27,AdWrapStockAware.psd
10inch Jewel/Fashion Colours,0.42,0.40,0.36,0.32,0.29,adwrappal.psd
12inch Standard Colours,0.44,0.43,0.38,0.34,0.30,foursidedimprint.psd
12inch Jewel/Fashion Colours,0.46,0.45,0.40,0.36,0.32,foursidedimprint.psd
