Product Description,ItemNum,1,5,10,25,50,100,PSD
6ft Front Print Only,48610,246.00,234.00,213.00,191.00,165.00,153.00,tablecover.psd
6ft Multi Panel Full Bleed,48945,273.00,261.00,243.00,219.00,193.00,180.00,tablecover.psd
6ft No Imprint*,50531,147.00,134.00,122.00,114.00,100.00,90.00,tablecover.psd
8ft Front Print Only,48427,268.00,251.00,230.00,291.00,188.00,162.00,tablecover.psd
8ft Multi Panel Full Bleed,48947,298.00,287.00,270.00,250.00,218.00,208.00,tablecover.psd
8ft No Imprint*,50532,152.00,139.00,128.00,120.00,106.00,95.00,tablecover.psd
