Product Description,Number of Colours,50,100,250,500,1000,PSD
18inch Round OR 18inch Heart Colour,1,3.06,2.48,1.9,1.82,1.62,smallmicrofoilvalved.psd
18inch Round OR 18inch Heart Colour,2*,N/A,2.82,2.32,2.18,1.94,smallmicrofoilvalved.psd
18inch Round OR 18inch Heart Colour,3*,N/A,N/A,2.64,2.58,2.3,smallmicrofoilvalved.psd
18inch Round OR 18inch Heart Colour,4*,N/A,N/A,3.1,2.89,2.58,smallmicrofoilvalved.psd
20inch Star Colour,1,3.4,3.06,2.35,2.3,2.02,smallmicrofoilvalved.psd
20inch Star Colour,2*,N/A,3.36,2.9,2.76,2.44,smallmicrofoilvalved.psd
20inch Star Colour,3*,N/A,N/A,3.2,3.16,2.8,smallmicrofoilvalved.psd
20inch Star Colour,4*,N/A,N/A,3.68,3.46,3.1,smallmicrofoilvalved.psd
